R,xF,F_mol_s,xD,Qreb_kW
3.23158,0.239474,27.77777777777778,0.860094,1196.16
3.23158,0.278947,27.77777777777778,0.910798,1199.82
3.23158,0.318421,27.77777777777778,0.946729,1203.63
3.23158,0.357895,27.77777777777778,0.96886,1207.57
3.23158,0.397368,27.77777777777778,0.980613,1211.64
3.23158,0.436842,27.77777777777778,0.986708,1215.82
3.23158,0.476316,27.77777777777778,0.990125,1220.1
3.23158,0.515789,27.77777777777778,0.992231,1224.46
3.23158,0.555263,27.77777777777778,0.993634,1228.9
3.23158,0.594737,27.77777777777778,0.994627,1233.41
3.23158,0.634211,27.77777777777778,0.995363,1237.98
3.23158,0.673684,27.77777777777778,0.99593,1242.61
3.23158,0.713158,27.77777777777778,0.996378,1247.3
3.23158,0.752632,27.77777777777778,0.99674,1252.03
3.23158,0.792105,27.77777777777778,0.99704,1256.81
3.23158,0.831579,27.77777777777778,0.997292,1261.62
3.23158,0.871053,27.77777777777778,0.997505,1266.48
3.23158,0.910526,27.77777777777778,0.99769,1271.36
3.23158,0.95,27.77777777777778,0.99785,1276.28
3.45263,0.2,27.77777777777778,0.818264,1207.79
3.45263,0.239474,27.77777777777778,0.885603,1211.08
3.45263,0.278947,27.77777777777778,0.934338,1214.52
3.45263,0.318421,27.77777777777778,0.964882,1218.13
3.45263,0.357895,27.77777777777778,0.980199,1221.88
3.45263,0.397368,27.77777777777778,0.987289,1225.76
3.45263,0.436842,27.77777777777778,0.99091,1229.74
3.45263,0.476316,27.77777777777778,0.993009,1233.81
3.45263,0.515789,27.77777777777778,0.994354,1237.97
3.45263,0.555263,27.77777777777778,0.995282,1242.2
3.45263,0.594737,27.77777777777778,0.995957,1246.5
3.45263,0.634211,27.77777777777778,0.996469,1250.87
3.45263,0.673684,27.77777777777778,0.99687,1255.3
3.45263,0.713158,27.77777777777778,0.997192,1259.78
3.45263,0.752632,27.77777777777778,0.997456,1264.31
3.45263,0.792105,27.77777777777778,0.997677,1268.88
3.45263,0.831579,27.77777777777778,0.997864,1273.5
3.45263,0.871053,27.77777777777778,0.998024,1278.15
3.45263,0.910526,27.77777777777778,0.998163,1282.83
3.45263,0.95,27.77777777777778,0.998285,1287.54
3.67368,0.2,27.77777777777778,0.843167,1221.83
3.67368,0.239474,27.77777777777778,0.910072,1224.91
3.67368,0.278947,27.77777777777778,0.954701,1228.17
3.67368,0.318421,27.77777777777778,0.977494,1231.61
3.67368,0.357895,27.77777777777778,0.986917,1235.18
3.67368,0.397368,27.77777777777778,0.991159,1238.87
3.67368,0.436842,27.77777777777778,0.99342,1242.66
3.67368,0.476316,27.77777777777778,0.994794,1246.54
3.67368,0.515789,27.77777777777778,0.995709,1250.5
3.67368,0.555263,27.77777777777778,0.996358,1254.56
3.67368,0.594737,27.77777777777778,0.996842,1258.67
3.67368,0.634211,27.77777777777778,0.997216,1262.85
3.67368,0.673684,27.77777777777778,0.997513,1267.09
3.67368,0.713158,27.77777777777778,0.997755,1271.38
3.67368,0.752632,27.77777777777778,0.997956,1275.72
3.67368,0.792105,27.77777777777778,0.998125,1280.1
3.67368,0.831579,27.77777777777778,0.998269,1284.53
3.67368,0.871053,27.77777777777778,0.998393,1288.99
3.67368,0.910526,27.77777777777778,0.998502,1293.49
3.67368,0.95,27.77777777777778,0.998597,1298.01
3.89474,0.2,27.77777777777778,0.86762,1234.9
3.89474,0.239474,27.77777777777778,0.932837,1237.8
3.89474,0.278947,27.77777777777778,0.970324,1240.9
3.89474,0.318421,27.77777777777778,0.985179,1244.18
3.89474,0.357895,27.77777777777778,0.990836,1247.58
3.89474,0.397368,27.77777777777778,0.993505,1251.09
3.89474,0.436842,27.77777777777778,0.995009,1254.7
3.89474,0.476316,27.77777777777778,0.995963,1258.4
3.89474,0.515789,27.77777777777778,0.996619,1262.19
3.89474,0.555263,27.77777777777778,0.997096,1266.06
3.89474,0.594737,27.77777777777778,0.997458,1269.99
3.89474,0.634211,27.77777777777778,0.997743,1274.0
3.89474,0.673684,27.77777777777778,0.997971,1278.06
3.89474,0.713158,27.77777777777778,0.998159,1282.17
3.89474,0.752632,27.77777777777778,0.998317,1286.34
3.89474,0.792105,27.77777777777778,0.99845,1290.55
3.89474,0.831579,27.77777777777778,0.998565,1294.8
3.89474,0.871053,27.77777777777778,0.998664,1299.08
3.89474,0.910526,27.77777777777778,0.998751,1303.4
3.89474,0.95,27.77777777777778,0.998828,1307.75
4.11579,0.2,27.77777777777778,0.891419,1247.08
4.11579,0.239474,27.77777777777778,0.952778,1249.82
4.11579,0.278947,27.77777777777778,0.980645,1252.78
4.11579,0.318421,27.77777777777778,0.989681,1255.91
4.11579,0.357895,27.77777777777778,0.993224,1259.15
4.11579,0.397368,27.77777777777778,0.99501,1262.49
4.11579,0.436842,27.77777777777778,0.99607,1265.93
4.11579,0.476316,27.77777777777778,0.996766,1269.47
4.11579,0.515789,27.77777777777778,0.997257,1273.09
4.11579,0.555263,27.77777777777778,0.997622,1276.79
4.11579,0.594737,27.77777777777778,0.997903,1280.56
4.11579,0.634211,27.77777777777778,0.998127,1284.4
4.11579,0.673684,27.77777777777778,0.998308,1288.3
4.11579,0.713158,27.77777777777778,0.998459,1292.25
4.11579,0.752632,27.77777777777778,0.998585,1296.25
4.11579,0.792105,27.77777777777778,0.998694,1300.29
4.11579,0.831579,27.77777777777778,0.998787,1304.37
4.11579,0.871053,27.77777777777778,0.998868,1308.5
4.11579,0.910526,27.77777777777778,0.99894,1312.65
4.11579,0.95,27.77777777777778,0.999004,1316.84
4.33684,0.2,27.77777777777778,0.914212,1258.48
4.33684,0.239474,27.77777777777778,0.968456,1261.08
4.33684,0.278947,27.77777777777778,0.986838,1263.92
4.33684,0.318421,27.77777777777778,0.992407,1266.89
4.33684,0.357895,27.77777777777778,0.994764,1269.97
4.33684,0.397368,27.77777777777778,0.996029,1273.16
4.33684,0.436842,27.77777777777778,0.996811,1276.44
4.33684,0.476316,27.77777777777778,0.997341,1279.82
4.33684,0.515789,27.77777777777778,0.997722,1283.29
4.33684,0.555263,27.77777777777778,0.99801,1286.83
4.33684,0.594737,27.77777777777778,0.998235,1290.45
4.33684,0.634211,27.77777777777778,0.998415,1294.13
4.33684,0.673684,27.77777777777778,0.998563,1297.87
4.33684,0.713158,27.77777777777778,0.998686,1301.67
4.33684,0.752632,27.77777777777778,0.998791,1305.52
4.33684,0.792105,27.77777777777778,0.99888,1309.4
4.33684,0.831579,27.77777777777778,0.998958,1313.34
4.33684,0.871053,27.77777777777778,0.999026,1317.3
4.33684,0.910526,27.77777777777778,0.999086,1321.31
4.33684,0.95,27.77777777777778,0.99914,1325.34
4.55789,0.2,27.77777777777778,0.93539,1269.15
4.55789,0.239474,27.77777777777778,0.979145,1271.65
4.55789,0.278947,27.77777777777778,0.990533,1274.36
4.55789,0.318421,27.77777777777778,0.994152,1277.18
4.55789,0.357895,27.77777777777778,0.995812,1280.12
4.55789,0.397368,27.77777777777778,0.99675,1283.15
4.55789,0.436842,27.77777777777778,0.99735,1286.29
4.55789,0.476316,27.77777777777778,0.997766,1289.52
4.55789,0.515789,27.77777777777778,0.998071,1292.84
4.55789,0.555263,27.77777777777778,0.998304,1296.24
4.55789,0.594737,27.77777777777778,0.998488,1299.71
4.55789,0.634211,27.77777777777778,0.998637,1303.25
4.55789,0.673684,27.77777777777778,0.99876,1306.85
4.55789,0.713158,27.77777777777778,0.998863,1310.5
4.55789,0.752632,27.77777777777778,0.998951,1314.2
4.55789,0.792105,27.77777777777778,0.999027,1317.95
4.55789,0.831579,27.77777777777778,0.999092,1321.74
4.55789,0.871053,27.77777777777778,0.99915,1325.56
4.55789,0.910526,27.77777777777778,0.999201,1329.42
4.55789,0.95,27.77777777777778,0.999247,1333.31
4.77895,0.2,27.77777777777778,0.953947,1279.19
4.77895,0.239474,27.77777777777778,0.985714,1281.59
4.77895,0.278947,27.77777777777778,0.992838,1284.17
4.77895,0.318421,27.77777777777778,0.995331,1286.86
4.77895,0.357895,27.77777777777778,0.996557,1289.65
4.77895,0.397368,27.77777777777778,0.997279,1292.55
4.77895,0.436842,27.77777777777778,0.997754,1295.55
4.77895,0.476316,27.77777777777778,0.99809,1298.64
4.77895,0.515789,27.77777777777778,0.99834,1301.82
4.77895,0.555263,27.77777777777778,0.998533,1305.08
4.77895,0.594737,27.77777777777778,0.998686,1308.42
4.77895,0.634211,27.77777777777778,0.998812,1311.82
4.77895,0.673684,27.77777777777778,0.998916,1315.28
4.77895,0.713158,27.77777777777778,0.999003,1318.8
4.77895,0.752632,27.77777777777778,0.999078,1322.36
4.77895,0.792105,27.77777777777778,0.999143,1325.97
4.77895,0.831579,27.77777777777778,0.9992,1329.63
4.77895,0.871053,27.77777777777778,0.99925,1333.31
4.77895,0.910526,27.77777777777778,0.999294,1337.04
4.77895,0.95,27.77777777777778,0.999334,1340.79
5.0,0.2,27.77777777777778,0.968628,1288.65
5.0,0.239474,27.77777777777778,0.989679,1290.96
5.0,0.278947,27.77777777777778,0.994358,1293.41
5.0,0.318421,27.77777777777778,0.996165,1295.96
5.0,0.357895,27.77777777777778,0.997105,1298.62
5.0,0.397368,27.77777777777778,0.997679,1301.39
5.0,0.436842,27.77777777777778,0.998065,1304.25
5.0,0.476316,27.77777777777778,0.998342,1307.22
5.0,0.515789,27.77777777777778,0.998551,1310.27
5.0,0.555263,27.77777777777778,0.998714,1313.41
5.0,0.594737,27.77777777777778,0.998844,1316.61
5.0,0.634211,27.77777777777778,0.998951,1319.89
5.0,0.673684,27.77777777777778,0.999041,1323.22
5.0,0.713158,27.77777777777778,0.999116,1326.61
5.0,0.752632,27.77777777777778,0.999181,1330.04
5.0,0.792105,27.77777777777778,0.999238,1333.53
5.0,0.831579,27.77777777777778,0.999287,1337.05
5.0,0.871053,27.77777777777778,0.999331,1340.61
5.0,0.910526,27.77777777777778,0.99937,1344.21
5.0,0.95,27.77777777777778,0.999404,1347.84
0.8,0.2,36.11111111111112,0.506215,1158.32
0.8,0.239474,36.11111111111112,0.559365,1168.5
0.8,0.278947,36.11111111111112,0.604117,1178.84
0.8,0.318421,36.11111111111112,0.642199,1189.32
0.8,0.357895,36.11111111111112,0.674904,1199.92
0.8,0.397368,36.11111111111112,0.703218,1210.64
0.8,0.436842,36.11111111111112,0.727903,1221.47
0.8,0.476316,36.11111111111112,0.749561,1232.4
0.8,0.515789,36.11111111111112,0.768672,1243.42
0.8,0.555263,36.11111111111112,0.785623,1254.52
0.8,0.594737,36.11111111111112,0.80073,1265.7
0.8,0.634211,36.11111111111112,0.814252,1276.94
0.8,0.673684,36.11111111111112,0.826406,1288.25
0.8,0.713158,36.11111111111112,0.837371,1299.62
0.8,0.752632,36.11111111111112,0.847298,1311.05
0.8,0.792105,36.11111111111112,0.856314,1322.53
0.8,0.831579,36.11111111111112,0.864529,1334.05
0.8,0.871053,36.11111111111112,0.872036,1345.61
0.8,0.910526,36.11111111111112,0.878914,1357.2
0.8,0.95,36.11111111111112,0.885231,1368.83
1.02105,0.2,36.11111111111112,0.532672,1216.48
1.02105,0.239474,36.11111111111112,0.587294,1225.85
1.02105,0.278947,36.11111111111112,0.632961,1235.36
1.02105,0.318421,36.11111111111112,0.671555,1245.02
1.02105,0.357895,36.11111111111112,0.704475,1254.81
1.02105,0.397368,36.11111111111112,0.732783,1264.72
1.02105,0.436842,36.11111111111112,0.7573,1274.73
1.02105,0.476316,36.11111111111112,0.778668,1284.86
1.02105,0.515789,36.11111111111112,0.797398,1295.07
1.02105,0.555263,36.11111111111112,0.813902,1305.38
1.02105,0.594737,36.11111111111112,0.828514,1315.76
1.02105,0.634211,36.11111111111112,0.841508,1326.21
1.02105,0.673684,36.11111111111112,0.85311,1336.73
1.02105,0.713158,36.11111111111112,0.863508,1347.31
1.02105,0.752632,36.11111111111112,0.87286,1357.95
1.02105,0.792105,36.11111111111112,0.881298,1368.64
1.02105,0.831579,36.11111111111112,0.888936,1379.37
1.02105,0.871053,36.11111111111112,0.895869,1390.15
1.02105,0.910526,36.11111111111112,0.902179,1400.96
1.02105,0.95,36.11111111111112,0.907937,1411.81
1.24211,0.2,36.11111111111112,0.559078,1267.75
1.24211,0.239474,36.11111111111112,0.61516,1276.39
1.24211,0.278947,36.11111111111112,0.661732,1285.18
1.24211,0.318421,36.11111111111112,0.700827,1294.11
1.24211,0.357895,36.11111111111112,0.733952,1303.18
1.24211,0.397368,36.11111111111112,0.762245,1312.37
1.24211,0.436842,36.11111111111112,0.786581,1321.68
1.24211,0.476316,36.11111111111112,0.807643,1331.09
1.24211,0.515789,36.11111111111112,0.825975,1340.6
1.24211,0.555263,36.11111111111112,0.84201,1350.19
1.24211,0.594737,36.11111111111112,0.856101,1359.87
1.24211,0.634211,36.11111111111112,0.868535,1369.63
1.24211,0.673684,36.11111111111112,0.879549,1379.45
1.24211,0.713158,36.11111111111112,0.889339,1389.34
1.24211,0.752632,36.11111111111112,0.89807,1399.28
1.24211,0.792105,36.11111111111112,0.905879,1409.27
1.24211,0.831579,36.11111111111112,0.912884,1419.32
1.24211,0.871053,36.11111111111112,0.919184,1429.4
1.24211,0.910526,36.11111111111112,0.924864,1439.53
1.24211,0.95,36.11111111111112,0.929998,1449.69
1.46316,0.2,36.11111111111112,0.585428,1313.27
1.46316,0.239474,36.11111111111112,0.642956,1321.26
1.46316,0.278947,36.11111111111112,0.690418,1329.4
1.46316,0.318421,36.11111111111112,0.729999,1337.69
1.46316,0.357895,36.11111111111112,0.763309,1346.12
1.46316,0.397368,36.11111111111112,0.791562,1354.68
1.46316,0.436842,36.11111111111112,0.815684,1363.35
1.46316,0.476316,36.11111111111112,0.8364,1372.13
1.46316,0.515789,36.11111111111112,0.854281,1381.01
1.46316,0.555263,36.11111111111112,0.869784,1389.98
1.46316,0.594737,36.11111111111112,0.883276,1399.04
1.46316,0.634211,36.11111111111112,0.895059,1408.17
1.46316,0.673684,36.11111111111112,0.90538,1417.38
1.46316,0.713158,36.11111111111112,0.914445,1426.65
1.46316,0.752632,36.11111111111112,0.922425,1435.97
1.46316,0.792105,36.11111111111112,0.929466,1445.35
1.46316,0.831579,36.11111111111112,0.935692,1454.79
1.46316,0.871053,36.11111111111112,0.941207,1464.26
1.46316,0.910526,36.11111111111112,0.946101,1473.78
1.46316,0.95,36.11111111111112,0.950454,1483.33
1.68421,0.2,36.11111111111112,0.611718,1353.96
1.68421,0.239474,36.11111111111112,0.670671,1361.36
1.68421,0.278947,36.11111111111112,0.719002,1368.93
1.68421,0.318421,36.11111111111112,0.75904,1376.65
1.68421,0.357895,36.11111111111112,0.792497,1384.5
1.68421,0.397368,36.11111111111112,0.820655,1392.49
1.68421,0.436842,36.11111111111112,0.844491,1400.59
1.68421,0.476316,36.11111111111112,0.864765,1408.81
1.68421,0.515789,36.11111111111112,0.882073,1417.13
1.68421,0.555263,36.11111111111112,0.896889,1425.55
1.68421,0.594737,36.11111111111112,0.909599,1434.05
1.68421,0.634211,36.11111111111112,0.920517,1442.63
1.68421,0.673684,36.11111111111112,0.929904,1451.28
1.68421,0.713158,36.11111111111112,0.937979,1460.0
1.68421,0.752632,36.11111111111112,0.944928,1468.78
1.68421,0.792105,36.11111111111112,0.950913,1477.61
1.68421,0.831579,36.11111111111112,0.956071,1486.5
1.68421,0.871053,36.11111111111112,0.960523,1495.43
1.68421,0.910526,36.11111111111112,0.964371,1504.4
1.68421,0.95,36.11111111111112,0.967705,1513.41
1.90526,0.2,36.11111111111112,0.637939,1390.54
1.90526,0.239474,36.11111111111112,0.698293,1397.42
